idMso	Exists in Office Word 2010	Type in Office Word 2010	Label in Office Word 2010	Exists in Office Word 2013	Type in Office Word 2013	Label in Office Word 2013
ArrowStyleGallery	1	gallery	Arrows	1	gallery	Arrows
ArrowsMore	1	button	More Arrows	1	button	More Arrows
ArtisticEffectsDialog	1	button	Artistic Effects Options	1	button	Artistic Effects Options
AsianLayoutCharacterScaling	1	menu	Character Scaling	1	menu	Character Scaling
AsianLayoutCharactersEnclose	1	button	Enclose Characters	1	button	Enclose Characters
AsianLayoutCombineCharacters	1	button	Combine Characters	1	button	Combine Characters
AsianLayoutFitText	1	button	Fit Text	1	button	Fit Text
AsianLayoutHorizontalInVertical	1	button	Horizontal in Vertical	1	button	Horizontal in Vertical
AsianLayoutMenu	1	menu	Asian Layout	1	menu	Asian Layout
AsianLayoutPhoneticGuide	1	button	Phonetic Guide	1	button	Phonetic Guide
AsianLayoutTwoLinesInOne	1	button	Two Lines in One	1	button	Two Lines in One
AutoCaptionInsert	1	button	Insert Auto Caption	1	button	Insert Auto Caption
AutoCorrect	1	button	AutoCorrect Options	1	button	AutoCorrect Options
AutoCorrectCapsLockOff	1	button	Tools AutoCorrect Caps Lock Off	1	button	Tools AutoCorrect Caps Lock Off
AutoCorrectDays	1	button	Tools AutoCorrect Days	1	button	Tools AutoCorrect Days
AutoCorrectExceptions	1	button	Tools AutoCorrect Exceptions	1	button	Tools AutoCorrect Exceptions
AutoCorrectHECorrect	1	button	HECorrect	1	button	HECorrect
AutoCorrectInitialCaps	1	button	Tools AutoCorrect Initial Caps	1	button	Tools AutoCorrect Initial Caps
AutoCorrectReplaceText	1	button	Tools AutoCorrect Replace Text	1	button	Tools AutoCorrect Replace Text
AutoCorrectSentenceCaps	1	button	Tools AutoCorrect Sentence Caps	1	button	Tools AutoCorrect Sentence Caps
AutoCorrectSmartQuotes	1	button	Tools AutoCorrect Smart Quotes	1	button	Tools AutoCorrect Smart Quotes
AutoFormat	1	button	AutoFormat	1	button	AutoFormat
AutoFormatAsYouType	1	button	Tools Options AutoFormat As You Type	1	button	Tools Options AutoFormat As You Type
AutoFormatChange	1	button	Tip Wizard 6	1	button	Tip Wizard 6
AutoFormatNow	1	button	AutoFormat	1	button	AutoFormat
AutoFormatOptions	1	button	Tools Options AutoFormat	1	button	Tools Options AutoFormat
AutoManager	1	button	AutoManager	1	button	AutoCorrect Options
AutoMarkIndexEntries	1	button	Auto Mark Index Entries	1	button	Auto Mark Index Entries
AutoScroll	1	button	Auto Scroll	1	button	Auto Scroll
AutoSum	1	button	Sum	1	button	Sum
AutoSummarize	1	button	Auto Summarize	1	button	Auto Summarize
AutoSummaryExitView	1	button	Close	1	button	Close
AutoSummaryResummarize	1	button	Resummarize	1	button	Resummarize
AutoSummaryToolsMenu	1	menu	AutoSummary Tools	1	menu	AutoSummary Tools
AutoSummaryUpdateProperties	1	button	Update Properties	1	button	Update Properties
AutoSummaryViewByHighlight	1	toggleButton	Highlight/Show Only Summary	1	toggleButton	Highlight/Show Only Summary
AutoTextCreate	1	button	Create AutoText	1	button	Create AutoText
AutoTextGallery	1	gallery	AutoText	1	gallery	AutoText
AutoTextInsert	1	button	Insert AutoText	1	button	Insert AutoText
BackgroundRemovalClose	0			1	button	Discard All Changes
BarcodeInsert	1	button	Barcode	1	button	Barcode
BevelShapeGallery	1	gallery	Bevel	1	gallery	Bevel
BevelTextGallery	1	gallery	Bevel	1	gallery	Bevel
BibliographyAddNewPlaceholder	1	button	Add New Placeholder	1	button	Add New Placeholder
